Title,Year,Rank,Directors,Countries
Avengers: Endgame  ,2019,1,"Russo, Anthony / Russo, Joe",USA
The Mustang  ,2019,2,"de Clermont-Tonnerre, Laura",France / USA
Apollo 11  ,2019,3,"Miller, Todd Douglas",USA
Us  ,2019,4,"Peele, Jordan",Japan / USA
How to Train Your Dragon: The Hidden World,2019,5,"DeBlois, Dean",USA
Captain Marvel,2019,6,"Boden, Anna / Fleck, Ryan",USA
Knock Down the House  ,2019,6,"Lears, Rachel",USA
Shazam!  ,2019,6,"Sandberg, David F.",USA
Clemency,2019,7,"Chukwu, Chinonye",USA
Honeyland,2019,7,"Kotevska, Tamara / Stefanov, Ljubomir",Rep of Macedonia
One Child Nation,2019,7,"Lynn, Zhang / Wang, Nanfu",USA
The Souvenir,2019,7,"Hogg, Joanna",UK / USA
Hail Satan?  ,2019,8,"Lane, Penny",USA
The Lego Movie 2: The Second Part,2019,9,"Mitchell, Mike",Denmark / Norway / Australia / USA
Long Shot  ,2019,9,"Levine, Jonathan",USA
Penguins  ,2019,9,"Fothergill, Alastair / Wilson, Jeff",USA
Pet Sematary  ,2019,9,"Kölsch, Kevin / Widmyer, Dennis",USA
Fighting With My Family,2019,10,"Merchant, Stephen",UK / USA
Roma,2018,1,"Cuarón, Alfonso",Mexico / USA
Cold War,2018,2,"Pawlikowski, Pawel",Poland / UK / France
Shoplifters,2018,3,"Koreeda, Hirokazu",Japan
Green Book,2018,4,"Farrelly, Peter",USA
A Star is Born,2018,5,"Cooper, Bradley",USA
If Beale Street Could Talk,2018,6,"Jenkins, Barry",USA
BlacKkKlansman,2018,7,"Lee, Spike",USA
The Favourite,2018,8,"Lanthimos, Yorgos",Ireland / UK / USA
Black Panther,2018,9,"Coogler, Ryan",USA
Capernaum,2018,10,"Labaki, Nadine",Lebanon / USA
The Shape of Water,2017,1,"del Toro, Guillermo",USA
"Three Billboards Outside Ebbing, Missouri",2017,2,"McDonagh, Martin",UK / USA
Call Me by Your Name,2017,3,"Guadagnino, Luca",Italy / France / Brazil / USA
Dunkirk,2017,4,"Nolan, Christopher",UK / Netherlands / France / USA
Lady Bird,2017,5,"Gerwig, Greta",USA
BPM (Beats Per Minute),2017,6,"Campillo, Robin",France
Get Out,2017,7,"Peele, Jordan",USA
The Square,2017,8,"Östlund, Ruben",Sweden / Germany / France / Denmark
Loveless,2017,9,"Zvyagintsev, Andrey",Russia / France
The Post,2017,10,"Spielberg, Steven",USA
La La Land,2016,1,"Chazelle, Damien",USA
Moonlight,2016,2,"Jenkins, Barry",USA
Manchester by the Sea,2016,3,"Lonergan, Kenneth",USA
Toni Erdmann,2016,4,"Ade, Maren",Germany / Austria
Arrival,2016,5,"Villeneuve, Denis",USA
The Handmaiden,2016,6,"Park, Chan-wook",South Korea
Elle,2016,7,"Verhoeven, Paul",France / Germany / Belgium
Fences,2016,8,"Washington, Denzel",USA
Hell or High Water,2016,9,"Mackenzie, David",USA
The Salesman,2016,10,"Farhadi, Asghar",Iran / France
Spotlight,2015,1,"McCarthy, Tom",USA
Son of Saul,2015,2,"Nemes, László",Hungary
Mad Max: Fury Road,2015,3,"Miller, George",Australia / USA
The Revenant,2015,4,"Iñárritu, Alejandro González",USA
Carol,2015,5,"Haynes, Todd",UK / USA / France
Inside Out,2015,6,"Docter, Pete / Del Carmen, Ronaldo",USA
Room,2015,7,"Abrahamson, Lenny",Ireland / Canada
The Martian,2015,8,"Scott, Ridley",USA
The Big Short,2015,9,"McKay, Adam",USA
Brooklyn,2015,10,"Crowley, John",Ireland / UK / Canada
Boyhood,2014,1,"Linklater, Richard",USA
Birdman,2014,2,"Iñárritu, Alejandro González",USA
Leviathan,2014,3,"Zvyagintsev, Andrey",Russia
The Grand Budapest Hotel,2014,4,"Anderson, Wes",USA / Germany
The Imitation Game,2014,5,"Tyldum, Morten",UK / USA
Whiplash,2014,6,"Chazelle, Damien",USA
"Two Days, One Night",2014,7,"Dardenne, Jean-Pierre / Dardenne, Luc",Belgium / France / Italy
Timbuktu,2014,8,"Sissako, Abderrahmane",France / Mauritania
American Sniper,2014,9,"Eastwood, Clint",USA
Nightcrawler,2014,10,"Gilroy, Dan",USA
12 Years a Slave,2013,1,"McQueen, Steve",USA / UK
Blue is the Warmest Colour,2013,2,"Kechiche, Abdellatif",France
Gravity,2013,3,"Cuarón, Alfonso",USA / UK
Ida,2013,4,"Pawlikowski, Pawel",Poland / Denmark
The Wolf of Wall Street,2013,5,"Scorsese, Martin",USA
Inside Llewyn Davis,2013,6,"Coen, Ethan / Coen, Joel",USA / France
Her,2013,7,"Jonze, Spike",USA
The Great Beauty,2013,8,"Sorrentino, Paolo",Italy
Captain Phillips,2013,9,"Greengrass, Paul",USA
Nebraska,2013,10,"Payne, Alexander",USA
Amour,2012,1,"Haneke, Michael",France / Germany / Austria
Zero Dark Thirty,2012,2,"Bigelow, Kathryn",USA
Lincoln,2012,3,"Spielberg, Steven",USA / India
Argo,2012,4,"Affleck, Ben",USA
Life of Pi,2012,5,"Lee, Ang",USA
Beasts of the Southern Wild,2012,6,"Zeitlin, Benh",USA
The Master,2012,7,"Anderson, Paul Thomas",USA
Silver Linings Playbook,2012,8,"Russell, David O.",USA
Les Misérables,2012,9,"Hooper, Tom",UK
Holy Motors,2012,10,"Carax, Leos",France / Germany
A Separation,2011,1,"Farhadi, Asghar",Iran
The Artist,2011,2,"Hazanavicius, Michel",France / Belgium
The Tree of Life,2011,3,"Malick, Terrence",USA
Hugo,2011,4,"Scorsese, Martin",USA
The Descendants,2011,5,"Payne, Alexander",USA
Melancholia,2011,6,"von Trier, Lars",Denmark / Sweden / France / Germany
Midnight in Paris,2011,7,"Allen, Woody",Spain / USA
War Horse,2011,8,"Spielberg, Steven",USA
The Kid with a Bike,2011,9,"Dardenne, Jean-Pierre / Dardenne, Luc",Belgium / France
Moneyball,2011,10,"Miller, Bennett",USA
The Social Network,2010,1,"Fincher, David",USA
The King's Speech,2010,2,"Hooper, Tom",UK / Australia
Inception,2010,3,"Nolan, Christopher",USA / UK
Black Swan,2010,4,"Aronofsky, Darren",USA
True Grit,2010,5,"Coen, Ethan / Coen, Joel",USA
Winter's Bone,2010,6,"Granik, Debra",USA
Toy Story 3,2010,7,"Unkrich, Lee",USA
The Fighter,2010,8,"Russell, David O.",USA
Incendies,2010,9,"Villeneuve, Denis",Canada
The Kids Are All Right,2010,10,"Cholodenko, Lisa",USA
A Prophet,2009,1,"Audiard, Jacques",France / Italy
The White Ribbon,2009,2,"Haneke, Michael",Austria / France / Germany
Avatar,2009,3,"Cameron, James",USA
Precious,2009,4,"Daniels, Lee",USA
Up in the Air,2009,5,"Reitman, Jason",USA
Inglourious Basterds,2009,6,"Tarantino, Quentin",USA / Germany / France
The Secret in Their Eyes,2009,7,"Campanella, Juan José",Argentina / Spain
A Serious Man,2009,8,"Coen, Ethan / Coen, Joel",USA / UK / France
An Education,2009,9,"Scherfig, Lone",UK
District 9,2009,10,"Blomkamp, Neill",South Africa / New Zealand
The Hurt Locker,2008,1,"Bigelow, Kathryn",USA
Let the Right One In,2008,2,"Alfredson, Tomas",Sweden
Slumdog Millionaire,2008,3,"Boyle, Danny / Tandan, Loveleen",UK / USA
Waltz with Bashir,2008,4,"Folman, Ari",Israel / Germany / France
The Dark Knight,2008,5,"Nolan, Christopher",USA
Wall•E,2008,6,"Stanton, Andrew",USA
Milk,2008,7,"Van Sant, Gus",USA
Frost/Nixon,2008,8,"Howard, Ron",USA / UK / France
The Curious Case of Benjamin Button,2008,9,"Fincher, David",USA
Gomorrah,2008,10,"Garrone, Matteo",Italy
No Country for Old Men,2007,1,"Coen, Ethan / Coen, Joel",USA
There Will Be Blood,2007,2,"Anderson, Paul Thomas",USA
The Diving Bell and the Butterfly,2007,3,"Schnabel, Julian",France / USA
"4 Months, 3 Weeks and 2 Days",2007,4,"Mungiu, Cristian",Romania
Persepolis,2007,5,"Paronnaud, Vincent / Satrapi, Marjane",France
Atonement,2007,6,"Wright, Joe",UK
Juno,2007,7,"Reitman, Jason",USA
Into the Wild,2007,8,"Penn, Sean",USA
Michael Clayton,2007,9,"Gilroy, Tony",USA
Ratatouille,2007,10,"Bird, Brad",USA
Pan's Labyrinth,2006,1,"del Toro, Guillermo",Mexico / Spain / USA
The Lives of Others,2006,2,"von Donnersmarck, Florian Henckel",Germany
The Queen,2006,3,"Frears, Stephen",UK
The Departed,2006,4,"Scorsese, Martin",USA
Babel,2006,5,"Iñárritu, Alejandro González",USA
Little Miss Sunshine,2006,6,"Dayton, Jonathan / Faris, Valerie",USA
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7,"Charles, Larry",USA
Volver,2006,8,"Almodóvar, Pedro",Spain
United 93,2006,9,"Greengrass, Paul",France / UK / USA
The Host,2006,10,"Bong, Joon-ho",South Korea
Brokeback Mountain,2005,1,"Lee, Ang",USA
"Good Night, and Good Luck.",2005,2,"Clooney, George",USA
Caché,2005,3,"Haneke, Michael",France / Austria / Germany / Italy
A History of Violence,2005,4,"Cronenberg, David",USA
Capote,2005,5,"Miller, Bennett",USA
Tsotsi,2005,6,"Hood, Gavin",UK / South Africa
Munich,2005,7,"Spielberg, Steven",USA
The Three Burials of Melquiades Estrada,2005,8,"Jones, Tommy Lee",USA / France
Grizzly Man,2005,9,"Herzog, Werner",USA
Paradise Now,2005,10,"Abu-Assad, Hany",France / Germany / Netherlands / Israel
Sideways,2004,1,"Payne, Alexander",USA
Million Dollar Baby,2004,2,"Eastwood, Clint",USA
Downfall,2004,3,"Hirschbiegel, Oliver",Germany / Italy / Austria
The Aviator,2004,4,"Scorsese, Martin",USA / Japan / Germany
Crash,2004,5,"Haggis, Paul",USA / Germany
House of Flying Daggers,2004,6,"Zhang, Yimou",China / Hong Kong
Eternal Sunshine of the Spotless Mind,2004,7,"Gondry, Michel",USA
Finding Neverland,2004,8,"Forster, Marc",UK / USA
Vera Drake,2004,9,"Leigh, Mike",UK / France / New Zealand
Hotel Rwanda,2004,10,"George, Terry",UK / Italy / South Africa
The Lord of the Rings: Return of the King,2003,1,"Jackson, Peter",USA / New Zealand
Lost in Translation,2003,2,"Coppola, Sofia",USA / Japan
Oldboy,2003,3,"Park, Chan-wook",South Korea
The Barbarian Invasions,2003,4,"Arcand, Denys",Canada / France
Dogville,2003,5,"von Trier, Lars",Denmark / Sweden / France / Norway / Netherlands / Finland / Germany / USA / UK
Mystic River,2003,6,"Eastwood, Clint",USA
Master and Commander: The Far Side of the World,2003,7,"Weir, Peter",USA
Finding Nemo,2003,8,"Stanton, Andrew / Unkrich, Lee",USA
"Good Bye, Lenin!",2003,9,"Becker, Wolfgang",Germany
The Triplets of Belleville,2003,10,"Chomet, Sylvain",France / Belgium / Canada / UK
City of God,2002,1,"Meirelles, Fernando / Lund, Kátia",Brazil / France / USA
The Lord of the Rings: The Two Towers,2002,2,"Jackson, Peter",USA / New Zealand / Germany
The Pianist,2002,3,"Polanski, Roman",Poland / France / UK / Germany / Netherlands
Talk to Her,2002,4,"Almodóvar, Pedro",Spain
Far from Heaven,2002,5,"Haynes, Todd",France / USA
Adaptation.,2002,6,"Jonze, Spike",USA
Gangs of New York,2002,7,"Scorsese, Martin",USA / Germany / Italy / UK / Netherlands
The Hours,2002,8,"Daldry, Stephen",USA
Ten,2002,9,"Kiarostami, Abbas",France / Iran / USA
Chicago,2002,10,"Marshall, Rob",USA / Canada
Y tu mamá también,2001,1,"Cuarón, Alfonso",Mexico / USA
Mulholland Dr.,2001,2,"Lynch, David",France / USA
Spirited Away,2001,3,"Miyazaki, Hayao",Japan
Amélie,2001,4,"Jeunet, Jean-Pierre",France / Germany
The Lord of the Rings: Fellowship of the Ring,2001,5,"Jackson, Peter",New Zealand / USA
Moulin Rouge!,2001,6,"Luhrmann, Baz",Australia / USA
Lagaan,2001,7,"Gowariker, Ashutosh",India
Shrek,2001,8,"Adamson, Andrew / Jenson, Vicky",USA
Gosford Park,2001,9,"Altman, Robert",UK / USA / Germany / Italy
No Man's Land,2001,10,"Tanovic, Danis",Bosnia-Herzegovina / Slovenia / Italy / France / UK / Belgium
"Crouching Tiger, Hidden Dragon",2000,1,"Lee, Ang",Taiwan / Hong Kong / USA / China
In the Mood for Love,2000,2,"Wong, Kar Wai",Hong Kong / France / Thailand
Yi Yi,2000,3,"Yang, Edward",Taiwan / Japan
Gladiator,2000,4,"Scott, Ridley",UK / USA
Amores perros,2000,5,"Iñárritu, Alejandro González",Mexico
Memento,2000,6,"Nolan, Christopher",USA
Traffic,2000,7,"Soderbergh, Steven",Germany / USA
Billy Elliot,2000,8,"Daldry, Stephen",UK / France
Chicken Run,2000,9,"Lord, Peter / Park, Nick",UK
Almost Famous,2000,10,"Crowe, Cameron",USA
American Beauty,1999,1,"Mendes, Sam",USA
All About My Mother,1999,2,"Almodóvar, Pedro",Spain / France
Being John Malkovich,1999,3,"Jonze, Spike",USA
The Insider,1999,4,"Mann, Michael",USA
The Matrix,1999,5,"Wachowski, Andy / Wachowski, Larry",USA
The Sixth Sense,1999,6,"Shyamalan, M. Night",USA
Three Kings,1999,7,"Russell, David O.",USA
Magnolia,1999,8,"Anderson, Paul Thomas",USA
Topsy-Turvy,1999,9,"Leigh, Mike",UK
The Straight Story,1999,10,"Lynch, David",France / UK / USA
Saving Private Ryan,1998,1,"Spielberg, Steven",USA
The Celebration,1998,2,"Vinterberg, Thomas",Denmark / Sweden
Shakespeare in Love,1998,3,"Madden, John",USA / UK
Happiness,1998,4,"Solondz, Todd",USA
The Thin Red Line,1998,5,"Malick, Terrence",Canada / USA
Run Lola Run,1998,6,"Tykwer, Tom",Germany
Central Station,1998,7,"Salles, Walter",Brazil / France
Rushmore,1998,8,"Anderson, Wes",USA
The Truman Show,1998,9,"Weir, Peter",USA
The Idiots,1998,10,"von Trier, Lars",Denmark / Sweden / France / Netherlands / Italy
L.A. Confidential,1997,1,"Hanson, Curtis",USA
Titanic,1997,2,"Cameron, James",USA
Boogie Nights,1997,3,"Anderson, Paul Thomas",USA
The Sweet Hereafter,1997,4,"Egoyan, Atom",Canada
The Full Monty,1997,5,"Cattaneo, Peter",UK
Taste of Cherry,1997,6,"Kiarostami, Abbas",France / Iran
Life Is Beautiful,1997,7,"Benigni, Roberto",Italy
The Butcher Boy,1997,8,"Jordan, Neil",Ireland / USA
As Good as It Gets,1997,9,"Brooks, James L.",USA
Donnie Brasco,1997,10,"Newell, Mike",USA
Fargo,1996,1,"Coen, Joel / Coen, Ethan",USA / UK
Secrets & Lies,1996,2,"Leigh, Mike",France / UK
The English Patient,1996,3,"Minghella, Anthony",USA
Shine,1996,4,"Hicks, Scott",Australia
Breaking the Waves,1996,5,"von Trier, Lars",Denmark / Sweden / France / Netherlands / Norway
Trainspotting,1996,6,"Boyle, Danny",UK
Jerry Maguire,1996,7,"Crowe, Cameron",USA
Kolya,1996,8,"Sverák, Jan",Czech Republic
Lone Star,1996,9,"Sayles, John",USA
The People vs. Larry Flynt,1996,10,"Forman, Milos",Canada / USA
Toy Story,1995,1,"Lasseter, John",USA
The Usual Suspects,1995,2,"Singer, Bryan",USA / Germany
Sense and Sensibility,1995,3,"Lee, Ang",USA / UK
Babe,1995,4,"Noonan, Chris",Australia / USA
Braveheart,1995,5,"Gibson, Mel",USA
Casino,1995,6,"Scorsese, Martin",USA / France
Leaving Las Vegas,1995,6,"Figgis, Mike",France / USA / UK
Apollo 13,1995,7,"Howard, Ron",USA
Seven,1995,8,"Fincher, David",USA
Heat,1995,9,"Mann, Michael",USA
La Cérémonie,1995,10,"Chabrol, Claude",France / Germany
Pulp Fiction,1994,1,"Tarantino, Quentin",USA
Red,1994,2,"Kieslowski, Krzysztof",Poland / France / Switzerland
The Shawshank Redemption,1994,3,"Darabont, Frank",USA
White,1994,4,"Kieslowski, Krzysztof",France / Poland / Switzerland / UK
Forrest Gump,1994,5,"Zemeckis, Robert",USA
Crumb,1994,6,"Zwigoff, Terry",USA
Hoop Dreams,1994,7,"James, Steve",USA
Lamerica,1994,8,"Amelio, Gianni",Italy / France
Four Weddings and a Funeral,1994,9,"Newell, Mike",UK
Quiz Show,1994,10,"Redford, Robert",USA
Schindler's List,1993,1,"Spielberg, Steven",USA
Farewell My Concubine,1993,2,"Chen, Kaige",China / Hong Kong
The Piano,1993,3,"Campion, Jane",Australia / New Zealand / France
Blue,1993,4,"Kieslowski, Krzysztof",France / Poland / Switzerland / UK
Groundhog Day,1993,5,"Ramis, Harold",USA
Short Cuts,1993,6,"Altman, Robert",USA
Jurassic Park,1993,7,"Spielberg, Steven",USA
The Remains of the Day,1993,8,"Ivory, James",UK / USA
The Fugitive,1993,9,"Davis, Andrew",USA
The Age of Innocence,1993,10,"Scorsese, Martin",USA
Unforgiven,1992,1,"Eastwood, Clint",USA
The Player,1992,2,"Altman, Robert",USA
The Crying Game,1992,3,"Jordan, Neil",UK / Japan
Reservoir Dogs,1992,4,"Tarantino, Quentin",USA
Howards End,1992,5,"Ivory, James",UK / Japan
Malcolm X,1992,6,"Lee, Spike",USA
One False Move,1992,7,"Franklin, Carl",USA
The Story of Qiu Ju,1992,8,"Zhang, Yimou",China / Hong Kong
Glengarry Glen Ross,1992,9,"Foley, James",USA
Aladdin,1992,10,"Clements, Ron / Musker, John",USA
Raise the Red Lantern,1991,1,"Zhang, Yimou",China / Hong Kong / Taiwan
The Silence of the Lambs,1991,2,"Demme, Jonathan",USA
Thelma & Louise,1991,3,"Scott, Ridley",USA
Beauty and the Beast,1991,4,"Trousdale, Gary / Wise, Kirk",USA
The Double Life of Véronique,1991,5,"Kieslowski, Krzysztof",France / Poland / Norway
Terminator 2: Judgment Day,1991,6,"Cameron, James",France / USA
La Belle Noiseuse,1991,7,"Rivette, Jacques",France / Switzerland
Delicatessen,1991,8,"Caro, Marc / Jeunet, Jean-Pierre",France
Boyz N the Hood,1991,9,"Singleton, John",USA
JFK,1991,10,"Stone, Oliver",USA / France
GoodFellas,1990,1,"Scorsese, Martin",USA
Cyrano de Bergerac,1990,2,"Rappeneau, Jean-Paul",France
Dances with Wolves,1990,3,"Costner, Kevin",USA
Close-up,1990,4,"Kiarostami, Abbas",Iran
The Grifters,1990,5,"Frears, Stephen",USA
Europa Europa,1990,6,"Holland, Agnieszka",Germany / France / Poland
Miller's Crossing,1990,7,"Coen, Joel / Coen, Ethan",USA
Reversal of Fortune,1990,8,"Schroeder, Barbet",USA / Japan / UK
The Nasty Girl,1990,9,"Verhoeven, Michael",West Germany
Metropolitan,1990,10,"Stillman, Whit",USA
Do the Right Thing,1989,1,"Lee, Spike",USA
Dekalog,1989,2,"Kieslowski, Krzysztof",Poland
Crimes and Misdemeanors,1989,3,"Allen, Woody",USA
When Harry Met Sally,1989,4,"Reiner, Rob",USA
Field of Dreams,1989,5,"Robinson, Phil Alden",USA
"sex, lies, and videotape",1989,6,"Soderbergh, Steven",USA
Born on the Fourth of July,1989,7,"Stone, Oliver",USA
My Left Foot,1989,8,"Sheridan, Jim",Ireland / UK
Drugstore Cowboy,1989,9,"Van Sant, Gus",USA
The Killer,1989,10,"Woo, John",Hong Kong
Cinema Paradiso,1988,1,"Tornatore, Giuseppe",Italy / France
Women on the Verge of a Nervous Breakdown,1988,2,"Almodóvar, Pedro",Spain
Who Framed Roger Rabbit,1988,3,"Zemeckis, Robert",USA
Dangerous Liaisons,1988,4,"Frears, Stephen",USA / UK
Die Hard,1988,5,"McTiernan, John",USA
Bull Durham,1988,6,"Shelton, Ron",USA
Landscape in the Mist,1988,7,"Angelopoulos, Theo",France / Greece / Italy
The Thin Blue Line,1988,8,"Morris, Errol",USA
Rain Man,1988,9,"Levinson, Barry",USA
Salaam Bombay!,1988,10,"Nair, Mira",UK / India / France
Wings of Desire,1987,1,"Wenders, Wim",West Germany / France
"Au Revoir, Les Enfants",1987,2,"Malle, Louis",France / West Germany
The Last Emperor,1987,3,"Bertolucci, Bernardo",France / Italy / UK
The Dead,1987,4,"Huston, John",UK
Broadcast News,1987,5,"Brooks, James L.",USA
Hope and Glory,1987,6,"Boorman, John",UK
Yeelen,1987,7,"Cissé, Souleymane",Mali / Burkina Faso / France / West Germany
Moonstruck,1987,8,"Jewison, Norman",USA
Babette's Feast,1987,9,"Axel, Gabriel",Denmark
Pelle the Conqueror,1987,10,"August, Bille",Denmark / Sweden
Blue Velvet,1986,1,"Lynch, David",USA
Hannah and Her Sisters,1986,2,"Allen, Woody",USA
Platoon,1986,3,"Stone, Oliver",USA
Jean de Florette,1986,4,"Berri, Claude",France / Switzerland / Italy
Manon of the Spring,1986,5,"Berri, Claude",Italy / France / Switzerland
Aliens,1986,6,"Cameron, James",USA / UK
The Fly,1986,7,"Cronenberg, David",USA
Stand by Me,1986,8,"Reiner, Rob",USA
'Round Midnight,1986,9,"Tavernier, Bertrand",USA / France
Sherman's March,1986,10,"McElwee, Ross",USA
Ran,1985,1,"Kurosawa, Akira",Japan / France
Shoah,1985,2,"Lanzmann, Claude",France
A Room with a View,1985,3,"Ivory, James",UK
Come and See,1985,4,"Klimov, Elem",Soviet Union
Back to the Future,1985,5,"Zemeckis, Robert",USA
Witness,1985,6,"Weir, Peter",USA
Brazil,1985,7,"Gilliam, Terry",UK
Prizzi's Honor,1985,8,"Huston, John",USA
Out of Africa,1985,9,"Pollack, Sydney",USA
Tampopo,1985,10,"Itami, Juzo",Japan
Amadeus,1984,1,"Forman, Milos",USA
"Paris, Texas",1984,2,"Wenders, Wim",UK / France / West Germany / USA
The Killing Fields,1984,3,"Joffé, Roland",UK
This Is Spinal Tap,1984,4,"Reiner, Rob",USA
The Terminator,1984,5,"Cameron, James",USA
Once Upon a Time in America,1984,6,"Leone, Sergio",Italy / USA
Stranger Than Paradise,1984,7,"Jarmusch, Jim",USA / West Germany
A Sunday in the Country,1984,8,"Tavernier, Bertrand",France
Heimat,1984,9,"Reitz, Edgar",West Germany
A Passage to India,1984,10,"Lean, David",UK / USA
The Right Stuff,1983,1,"Kaufman, Philip",USA
The Dresser,1983,2,"Yates, Peter",UK
The Big Chill,1983,3,"Kasdan, Lawrence",USA
Terms of Endearment,1983,4,"Brooks, James L.",USA
L'Argent,1983,5,"Bresson, Robert",France / Switzerland
Scarface,1983,6,"De Palma, Brian",USA
The Fourth Man,1983,7,"Verhoeven, Paul",Netherlands
Local Hero,1983,8,"Forsyth, Bill",UK
El Norte,1983,9,"Nava, Gregory",USA / UK
Silkwood,1983,10,"Nichols, Mike",USA
E.T. The Extra-Terrestrial,1982,1,"Spielberg, Steven",USA
Fanny & Alexander,1982,2,"Bergman, Ingmar",Sweden / France / West Germany
Blade Runner,1982,3,"Scott, Ridley",USA
Tootsie,1982,4,"Pollack, Sydney",USA
The King of Comedy,1982,5,"Scorsese, Martin",USA
Fitzcarraldo,1982,6,"Herzog, Werner",Peru / West Germany
Diner,1982,7,"Levinson, Barry",USA
Gandhi,1982,8,"Attenborough, Richard",UK / India
The Verdict,1982,9,"Lumet, Sidney",USA
Night of the Shooting Stars,1982,10,"Taviani, Paolo / Taviani, Vittorio",Italy
Raiders of the Lost Ark,1981,1,"Spielberg, Steven",USA
Chariots of Fire,1981,2,"Hudson, Hugh",UK
Reds,1981,3,"Beatty, Warren",USA
Das Boot,1981,4,"Petersen, Wolfgang",West Germany
Pixote,1981,5,"Babenco, Hector",Brazil
